FirstName,LastName,Height,Weight,Position,DOB,Uniform,City,State,College,Exp,Injury,TimeInjured,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Team,Contract1,Contract2,Contract3,Contract4,Contract5,Contract6,Contract7,BirdYears,Option,Picname,InjuryAvoidance
Chris,Harper,87,229,PF,6/15/2004,52,Old Town,ME,Villanova,1,,0,30,43,24,41,54,62,0,0,0,6,7,1,8,12,24,9,16,10,17,13,18,7,12,19,24,22,81,24,68,66,RIO,23781,24660,25539,26417,0,0,0,0,None,,94
Billie,Holmes,83,237,C,3/1/2003,35,Tupelo,MS,Mississippi,5,Bruised Hip,0,22,22,26,26,54,56,0,0,0,43,43,22,23,47,47,4,4,23,23,37,37,27,30,70,70,70,61,20,37,64,RIO,250000,270000,290000,310000,330000,350000,0,0,None,,68
Merle,Andrews,85,244,C,7/23/1982,55,Conway,AR,Louisiana-Monroe,12,Dislocated Shoulder,33,22,28,39,49,42,47,10,12,12,22,27,0,0,59,69,17,19,25,33,60,60,32,32,44,44,53,56,6,20,6,T95,307693,0,0,0,0,0,0,4,None,,36
Vilem,Kohout,83,220,C,6/8/1996,54,Prague,Czech Republic,None,0,,0,11,24,8,20,47,50,0,0,0,13,28,2,3,10,19,3,6,7,15,1,3,27,50,5,10,10,67,6,22,22,Draft,0,0,0,0,0,0,0,0,None,,56
Cyrus,Perez,85,253,C,3/21/1991,35,San Jose,CA,Stanford,7,Inflamed Appendix,0,29,33,34,41,31,37,0,0,0,19,24,11,12,60,60,5,6,8,8,52,61,13,15,8,8,31,77,23,49,29,IDS,185501,208689,231876,255064,0,0,0,1,None,,98
Kenny,Marra,78,198,SG,12/1/1995,23,North Bibb,AL,Butler,0,,0,24,26,16,22,48,52,7,9,10,35,50,22,26,10,12,52,54,5,5,9,9,8,12,5,6,89,50,58,42,49,Draft,0,0,0,0,0,0,0,0,None,,61
David,Mitchell,86,249,C,8/22/1991,54,Chaska,MN,Creighton,5,,0,4,6,19,40,46,48,0,0,0,11,22,9,20,10,18,5,8,6,14,17,34,12,24,18,33,10,60,15,63,59,LAD,14100,0,0,0,0,0,0,0,None,,99
Feodor,Belyakova,82,237,C,1/12/1990,52,Blagoveshchensk,Russia,None,4,,0,8,8,11,12,39,42,0,0,0,16,16,7,7,21,24,7,7,11,11,44,44,12,12,42,42,68,66,13,58,56,FWN,13500,0,0,0,0,0,0,0,None,,39
Larry,Mundell,82,251,C,5/16/1980,51,Mesa,AZ,Arizona,14,,0,40,43,25,29,34,34,0,0,0,21,22,20,20,27,32,23,24,15,18,25,25,12,12,26,29,59,62,6,19,1,ERI,23800,0,0,0,0,0,0,0,None,,30
Charles,Estrada,86,266,C,5/25/1994,54,Wilburton,OK,Oklahoma,2,Blurred Vision,0,42,53,5,7,32,37,0,0,0,9,13,8,12,38,52,6,9,8,12,24,31,24,33,10,15,26,75,2,20,36,RIO,24079,27089,30099,0,0,0,0,1,None,,12
Eric,Tsai,86,228,C,12/16/1984,30,St. Charles,MD,Navy,11,Hyperextended Knee,0,13,15,10,11,41,41,0,0,0,14,14,5,5,52,59,7,8,1,1,27,27,43,43,53,53,23,50,2,15,11,SCZ,259701,0,0,0,0,0,0,0,None,,16
Bo,Pratt,79,209,SF,7/14/1995,7,Concord,MO,Kansas,0,,0,1,2,36,50,48,49,20,31,32,25,40,17,23,19,22,40,49,10,15,16,18,5,7,18,23,67,36,47,53,53,Draft,0,0,0,0,0,0,0,0,None,,90
Kevin,Weaver,82,243,C,1/31/1991,40,Allen,TX,Kansas State,2,,0,13,22,10,13,43,43,0,0,0,22,31,5,7,20,31,4,7,6,10,25,33,9,15,6,10,93,69,11,36,17,CAN,0,0,0,0,0,0,0,0,None,,34
Andrew,Richardson,83,241,C,10/6/1983,34,Moreno Valley,CA,Fresno State,12,,0,4,4,26,26,9,11,17,23,24,21,24,8,8,39,41,9,9,8,8,16,16,42,42,20,20,64,63,4,36,50,LAD,140458,158015,175572,193130,0,0,0,3,None,,68
Ervin,Henderson,84,260,C,10/12/1988,35,Schuyler,NE,Kansas,8,,0,21,24,38,46,56,66,0,0,0,42,49,17,17,24,27,6,6,6,7,20,22,15,15,12,14,17,64,1,25,22,GRD,18500,0,0,0,0,0,0,0,None,,82
Tony,Thompson,82,272,PF,11/19/1984,54,Fairborn,OH,Syracuse,8,Fractured Nose,0,24,24,3,3,30,33,7,7,8,12,12,2,2,40,44,4,4,40,40,50,57,11,11,22,22,61,70,13,40,37,SCZ,175382,0,0,0,0,0,0,5,None,,11
Francisek,Baraga,84,242,C,2/25/1988,44,Ljubljana,Slovenia,None,8,Broken Finger,0,3,3,7,7,32,37,0,0,0,34,34,18,18,58,58,4,4,2,2,44,48,8,8,30,30,28,57,19,52,67,LAD,231890,255079,278268,301457,324646,347835,0,2,None,,48
Sherman,White,83,218,PF,9/16/1995,33,Chino Hills,CA,Northern Arizona,1,Inflamed Appendix,0,12,13,17,26,56,59,0,0,0,28,30,11,11,47,47,17,19,9,10,37,37,34,35,18,25,21,51,18,50,27,RNO,26506,29157,31807,34458,0,0,0,0,None,,72
Zacarías,Criville,85,243,PF,10/10/1984,45,Durant,OK,Stephen F. Austin,9,Fractured Nose,0,1,1,19,22,48,53,0,0,0,17,17,5,5,38,38,2,3,20,20,39,39,67,68,30,30,66,37,31,37,70,FWN,0,0,0,0,0,0,0,0,None,,81
Justin,Falco,82,238,PF,5/4/1988,42,Bowie,MD,Morgan State,10,Broken Ankle,0,19,19,59,59,43,54,0,0,0,2,2,17,17,34,34,11,11,4,4,41,41,19,21,0,0,39,50,32,35,59,IDS,23000,0,0,0,0,0,0,0,None,,72
Haywood,Smith,87,230,C,2/21/1991,35,Murrieta,CA,UCLA,6,,0,4,4,28,30,33,38,0,0,0,18,24,9,10,47,53,9,10,14,18,16,18,26,26,10,10,39,75,12,61,51,D87,74102,79899,85697,0,0,0,0,4,None,,67
Tuan,Green,83,250,C,9/5/1993,53,Brownsburg,IN,Kansas,2,,0,9,10,15,19,47,49,0,0,0,29,38,9,12,41,46,20,20,5,5,28,29,14,14,14,14,89,37,9,25,60,MNE,11100,0,0,0,0,0,0,0,None,,33
Rusty,Barton,83,227,C,9/30/1993,52,Mansfield,AR,Oklahoma,0,,0,5,9,4,6,28,34,0,0,0,9,17,3,3,25,49,0,0,2,2,9,15,9,21,8,17,19,61,7,29,21,RNO,7600,0,0,0,0,0,0,0,None,,4
Delbert,Benjamin,82,273,C,11/7/1991,53,New York,NY,Illinois,5,Broken Nose,0,13,17,20,26,30,34,0,0,0,10,12,8,9,33,42,4,4,5,7,7,8,47,54,45,59,97,64,18,45,54,SFS,100327,110360,0,0,0,0,0,4,None,,46
Kendrick,Madden,83,244,C,12/13/1986,42,Evansburg,PA,Providence,11,,0,35,35,14,16,38,46,0,0,0,16,16,14,14,13,13,0,0,7,9,35,35,49,55,22,25,39,67,6,48,30,ERI,185540,186412,187284,188156,0,0,0,6,None,,25
Ray,Lewis,83,238,C,1/18/1993,31,Belmont,CA,Northern Arizona,2,,0,9,12,23,37,48,49,0,0,0,10,11,3,3,37,44,4,5,6,7,22,31,7,7,18,26,40,38,21,78,55,SFS,0,0,0,0,0,0,0,0,None,,90
Donte,Dalrymple,85,233,C,6/12/1985,40,Springfield,IL,Nebraska,11,Stiff Neck,0,15,15,36,36,60,66,0,0,0,19,23,15,17,37,38,1,1,24,24,46,48,47,47,24,24,48,49,5,38,17,D87,64818,70003,75189,0,0,0,0,0,Player,,54
Eutropio,Francia,84,233,C,6/27/1983,53,Pinewood,FL,Auburn,13,Broken Nose,0,8,8,10,10,39,40,0,0,0,10,11,5,5,39,39,9,9,10,10,15,19,51,53,39,39,46,69,1,58,12,OCB,247316,0,0,0,0,0,0,2,None,,30
Scott,Roberts,86,235,C,2/7/1989,35,Philadelphia,PA,Michigan State,5,,0,6,6,34,37,58,67,0,0,0,14,16,4,4,28,30,11,11,12,15,27,28,35,42,7,7,51,75,0,21,34,WSK,14100,0,0,0,0,0,0,0,None,,65
John,Hart,90,214,C,10/21/1988,33,Tacoma,WA,Stanford,5,,0,21,21,15,19,12,13,0,0,0,19,23,10,11,32,32,7,8,8,11,12,13,15,19,10,10,48,55,21,46,31,FA,0,0,0,0,0,0,0,0,None,,42
Elliott,Horn,83,226,C,11/12/1997,44,Summit,AZ,Arizona State,0,,0,7,20,3,8,35,38,0,0,0,10,30,3,9,9,21,2,5,8,19,12,38,2,6,20,45,59,65,29,91,61,Draft,0,0,0,0,0,0,0,0,None,,63
Lonnie,Orth,84,256,C,10/5/1985,0,Sterling Heights,MI,Michigan,10,,0,17,17,4,4,34,34,0,0,0,13,14,23,23,37,42,4,4,20,23,31,31,5,5,9,10,71,44,0,19,26,FA,0,0,0,0,0,0,0,0,None,,17
Daniel,Small,83,285,C,7/16/1988,43,Perth,Australia,None,10,Broken Finger,0,32,32,7,9,29,35,0,0,0,43,54,7,8,37,42,15,18,12,13,32,35,38,42,7,7,46,63,7,19,26,RNO,88923,95629,102334,0,0,0,0,4,None,,8
Patrick,Thompson,81,238,PF,10/15/1986,40,Haiku-Pauwela,HI,Hawaii,7,Bruised Cheekbone,0,10,10,28,33,63,63,0,0,0,46,46,16,16,80,80,8,8,8,8,41,45,66,66,23,26,16,45,2,32,33,GRD,179972,0,0,0,0,0,0,6,None,,22
Mason,Adams,80,239,PF,11/1/1980,43,Bellevue,KY,Morehead State,16,,0,32,32,7,7,30,37,1,1,1,13,13,7,8,9,9,7,7,13,13,53,59,32,34,32,32,66,70,5,38,14,OCB,23800,0,0,0,0,0,0,0,None,,92
Godzimir,Veselica,84,243,C,4/28/1995,42,Bjelovar,Croatia,None,0,,0,1,3,12,21,47,51,0,0,0,17,31,5,11,28,58,5,12,6,10,7,18,3,8,4,7,23,51,1,17,16,Draft,0,0,0,0,0,0,0,0,None,,70
Jaime,Jones,85,260,C,6/15/1990,31,Appleton,WI,Minnesota,4,Severe Migraines,0,13,18,17,27,50,57,0,0,0,15,24,7,8,24,27,1,1,1,1,46,50,9,10,25,27,32,66,10,45,35,CAN,20250,0,0,0,0,0,0,3,None,,55
