"ID","HistoricalID","FirstName","LastName","Name","Height","Weight","Age","BirthMonth","BirthDay","BirthYear","CurrentLeague","CurrentLeagueID","CurrentTeam","CurrentTeamID","ContractTeam","ContractTeamID","DlgTeam","DlgTeamID","Injury","TimeInjured","Inactive","PositionNumber","Experience","College","City","State","Greed","Happiness","Loyalty","Winner","InsideScoring","JumpShot","FreeThrowShot","ThreePointShot","Handling","Passing","OffensiveRebounding","DefensiveRebounding","PostDefense","PerimeterDefense","Stealing","ShotBlocking","Quickness","Strength","Stamina","Jumping","Pot_Inside","Pot_Jumpshot","Pot_FreeThrow","Pot_3pShot","Pot_Handling","Pot_Passing","Pot_ORebounding","Pot_DRebounding","Pot_PostDefense","Pot_PerimeterDefense","Pot_Stealing","Pot_Blocking","CurrentRating","FutureRating","OverallRating","OverallPotential","Championships","PlayerOfGame","PlayerOfWeek","PlayerOfMonth","Contract1","Contract2","Contract3","Contract4","Contract5","Contract6","Contract7","Contract8","OptionType1","OptionType2","OptionType3","OptionType4","OptionType5","OptionType6","OptionType7","OptionType8","BirdYears"
"41","","Chris","Harper","Chris Harper","87","229","12","6","15","2004","USDL","1","Rio Grand Valley","14","Rio Grand Valley","14","N/A","0","","0","False","2","1","Villanova","Old Town","ME","71","20","3","49","31","25","50","0","6","0","7","19","12","9","10","13","25","77","66","65","C","D","B","F","F","F","F","D","D","F","F","F","F","D","49","60","0","2","0","0","23781","24660","25539","26417","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","","Billie","Holmes","Billie Holmes","83","237","14","3","1","2003","USDL","1","Rio Grand Valley","14","Rio Grand Valley","14","N/A","0","Bruised Hip","0","False","1","5","Mississippi","Tupelo","MS","29","47","20","12","24","26","57","0","40","24","26","72","43","4","25","36","21","57","67","37","D","D","B","F","C","D","D","B","C","F","D","D","D","D","71","74","0","10","1","0","250000","270000","290000","310000","330000","350000","0","0","0","0","0","0","0","0","0","0","0"
"43","","Merle","Andrews","Merle Andrews","85","244","34","7","23","1982","USDL","1","Toronto","21","Toronto","21","N/A","0","Dislocated Shoulder","33","True","1","12","Louisiana-Monroe","Conway","AR","25","31","54","98","21","40","37","10","24","0","31","42","55","17","25","59","6","53","6","21","D","C","C","F","D","F","D","C","B","F","D","B","D","D","64","74","1","2","0","0","307693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"44","","Vilem","Kohout","Vilem Kohout","83","220","20","6","8","1996","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","1","0","None","Prague","Czech Republic","3","94","28","65","12","8","49","0","12","2","26","5","10","3","7","1","6","72","22","20","D","F","C","F","D","F","C","F","F","F","F","F","F","F","26","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","","Cyrus","Perez","Cyrus Perez","85","253","26","3","21","1991","USDL","1","Idaho","9","Idaho","9","N/A","0","Inflamed Appendix","0","False","1","7","Stanford","San Jose","CA","69","21","73","55","29","37","31","0","17","11","14","8","61","5","7","53","22","82","27","50","D","C","D","F","D","F","F","F","B","F","F","B","D","D","61","65","0","4","0","0","185501","208689","231876","255064","0","0","0","0","0","0","0","0","0","0","0","0","1"
"46","","Kenny","Marra","Kenny Marra","78","198","21","12","1","1995","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","4","0","Butler","North Bibb","AL","83","70","92","87","24","15","42","7","36","22","8","5","9","53","5","8","61","48","48","45","D","D","C","F","C","D","F","F","F","C","F","F","F","F","42","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","","David","Mitchell","David Mitchell","86","249","25","8","22","1991","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","","0","True","1","5","Creighton","Chaska","MN","44","72","89","95","4","21","48","0","11","9","13","17","10","5","6","18","15","57","51","59","F","D","C","F","D","F","D","D","D","F","F","D","F","F","36","50","0","0","0","0","14100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","","Feodor","Belyakova","Feodor Belyakova","82","237","27","1","12","1990","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","","0","False","1","4","None","Blagoveshchensk","Russia","64","2","49","8","8","11","41","0","16","7","12","43","19","7","11","43","13","66","56","63","F","F","C","F","F","F","F","C","D","F","F","C","F","F","49","52","0","0","0","0","13500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","","Larry","Mundell","Larry Mundell","82","251","36","5","16","1980","USDL","1","Erie","7","Erie","7","N/A","0","","0","False","1","14","Arizona","Mesa","AZ","59","2","12","78","39","26","32","0","21","21","11","26","27","24","15","25","6","61","2","20","C","D","D","F","D","D","F","D","D","D","F","D","F","F","41","46","0","0","0","0","23800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","","Charles","Estrada","Charles Estrada","86","266","22","5","25","1994","USDL","1","Rio Grand Valley","14","Rio Grand Valley","14","N/A","0","Blurred Vision","0","False","1","2","Oklahoma","Wilburton","OK","41","2","36","89","40","5","33","0","9","8","24","10","38","6","8","24","2","77","38","19","C","F","D","F","F","F","D","F","C","F","F","D","F","D","50","65","0","0","0","0","24079","27089","30099","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
