"ID","HistoricalID","FirstName","LastName","Name","Height","Weight","Age","BirthMonth","BirthDay","BirthYear","CurrentLeague","CurrentLeagueID","CurrentTeam","CurrentTeamID","ContractTeam","ContractTeamID","DlgTeam","DlgTeamID","Injury","TimeInjured","Inactive","PositionNumber","Experience","College","City","State","Greed","Happiness","Loyalty","Winner","InsideScoring","JumpShot","FreeThrowShot","ThreePointShot","Handling","Passing","OffensiveRebounding","DefensiveRebounding","PostDefense","PerimeterDefense","Stealing","ShotBlocking","Quickness","Strength","Stamina","Jumping","Pot_Inside","Pot_Jumpshot","Pot_FreeThrow","Pot_3pShot","Pot_Handling","Pot_Passing","Pot_ORebounding","Pot_DRebounding","Pot_PostDefense","Pot_PerimeterDefense","Pot_Stealing","Pot_Blocking","CurrentRating","FutureRating","OverallRating","OverallPotential","Championships","PlayerOfGame","PlayerOfWeek","PlayerOfMonth","Contract1","Contract2","Contract3","Contract4","Contract5","Contract6","Contract7","Contract8","OptionType1","OptionType2","OptionType3","OptionType4","OptionType5","OptionType6","OptionType7","OptionType8","BirdYears"
"41","","Chris","Harper","Chris Harper","87","229","23","10","27","1992","USDL","1","Rio Grand Valley","14","Rio Grand Valley","14","N/A","0","","0","False","1","0","Villanova","Old Town","ME","71","41","3","49","D ","D ","C+","F-","F-","F-","F ","D-","F+","F ","F ","F+","D ","A-","B-","B ","D ","D ","B ","F ","F ","F ","F ","D ","F ","F ","F ","F ","F","F","45","54","0","2","0","0","23781","24660","25539","26417","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","","Billie","Holmes","Billie Holmes","83","227","26","1","16","1990","USDL","1","Rio Grand Valley","14","Rio Grand Valley","14","N/A","0","Bruised Hip","0","False","1","4","Mississippi","Tupelo","MS","29","31","20","12","D ","D+","C+","F-","C ","D-","D ","B ","C ","F-","D ","C ","D-","B-","B ","C-","D ","D ","C ","F ","C ","D ","D ","B ","C ","F ","D ","D ","D","D","70","73","0","3","0","0","250000","270000","290000","310000","330000","350000","0","0","0","0","0","0","0","0","0","0","0"
"43","","Merle","Andrews","Merle Andrews","85","239","33","7","23","1982","USDL","1","Toronto","21","Toronto","21","N/A","0","Blurred Vision","0","False","1","11","Louisiana-Monroe","Conway","AR","25","29","54","98","D-","C-","C ","F ","D ","F-","C-","C ","C+","F+","D ","B-","F ","C+","F+","D-","D ","C ","C ","F ","D ","F ","D ","C ","B ","F ","D ","B ","D","D","66","73","0","0","0","0","307693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"44","","Cliff","White","Cliff White","84","240","41","11","10","1974","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","18","Villanova","Washington","DC","24","65","92","82","F-","D+","C+","F-","F+","F-","F-","F ","D+","D-","F-","D-","F-","C+","D-","C-","F ","D ","C ","F ","D ","F ","F ","F ","D ","D ","F ","F ","F","F","32","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","","Cyrus","Perez","Cyrus Perez","85","238","25","3","21","1991","USDL","1","Idaho","9","Idaho","9","N/A","0","Sprained Knee","0","False","1","6","Stanford","San Jose","CA","69","18","73","55","D ","C-","D+","F-","D-","F+","F+","F ","B-","F-","F ","C ","D ","B-","D ","C ","D ","C ","D ","F ","D ","F ","F ","F ","B ","F ","F ","B ","F","D","56","63","0","2","0","0","185501","208689","231876","255064","0","0","0","0","0","0","0","0","0","0","0","0","1"
"46","","William","Baker","William Baker","85","247","28","2","19","1988","USDL","1","FA","-1","FA","-1","N/A","0","","0","True","1","9","Brigham Young","Long Beach","CA","10","65","30","54","F ","C-","C+","F-","F-","F ","F ","F+","F ","F-","D-","D-","F-","C+","C ","D+","F ","D ","B ","F ","F ","F ","F ","F ","F ","F ","F ","D ","F","F","30","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","","David","Mitchell","David Mitchell","86","240","24","8","22","1991","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","","0","False","1","4","Creighton","Chaska","MN","44","2","89","95","F-","D-","C ","F-","F+","F ","F+","F+","F ","F-","F-","F+","F+","C+","C+","B-","F ","D ","C ","F ","D ","F ","D ","D ","F ","F ","F ","D ","F","F","35","50","0","0","0","0","14100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","","Feodor","Belyakova","Feodor Belyakova","82","231","26","1","12","1990","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","","0","False","1","3","None","Blagoveshchensk","Russia","64","2","49","8","F ","F ","C-","F-","F+","F ","F+","C ","D ","F ","F ","C ","F+","C+","C+","C+","F ","F ","C ","F ","F ","F ","F ","C ","D ","F ","F ","C ","F","F","46","50","0","0","0","0","13500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","","Larry","Mundell","Larry Mundell","82","239","35","5","16","1980","USDL","1","Erie","7","Erie","7","N/A","0","","0","False","1","13","Arizona","Mesa","AZ","59","2","12","78","C ","D ","C-","F-","D-","D-","F+","D ","D ","D-","F+","D ","F ","B ","F-","D ","C ","D ","D ","F ","D ","D ","F ","D ","D ","D ","F ","D ","F","F","41","47","0","0","0","0","23800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","","Charles","Estrada","Charles Estrada","86","257","21","5","25","1994","USDL","1","Rio Grand Valley","14","Rio Grand Valley","14","N/A","0","","0","False","1","1","Oklahoma","Wilburton","OK","41","2","36","89","C ","F-","C-","F-","F ","F ","D ","F ","C-","F-","F ","D-","F-","B-","C-","D-","C ","F ","D ","F ","F ","F ","D ","F ","C ","F ","F ","D ","F","D","45","61","0","0","0","0","24079","27089","30099","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"51","","Eric","Tsai","Eric Tsai","86","224","31","12","16","1984","USDL","1","Santa Cruz","15","Santa Cruz","15","N/A","0","Stress Fracture","32","True","1","10","Navy","St. Charles","MD","28","16","31","37","F+","F ","C-","F-","F+","F-","C ","C+","C ","F ","F-","D+","F-","C ","F ","D ","F ","F ","C ","F ","F ","F ","C ","C ","B ","F ","F ","D ","F","D","57","64","0","1","0","0","259701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
