FirstName,LastName,Height,Weight,Position,DOB,Uniform,City,State,College,Exp,Injury,TimeInjured,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Team,Contract1,Contract2,Contract3,Contract4,Contract5,Contract6,Contract7,BirdYears,Option,Picname,InjuryAvoidance
Ivory,Sanner,80,221,PF,11/6/2011,51,Paxton,IL,None,5,,0,2,5,2,5,2,5,2,5,2,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,2,2,2,2,FA,0,0,0,0,0,0,0,0,None,,29
Carter,Alva,76,169,PG,7/21/2009,21,Rose Hill,KS,Belmont,0,,0,2,5,2,5,2,5,2,5,11,2,5,2,5,2,5,2,5,2,5,2,2,2,5,2,4,51,2,2,2,57,Draft,0,0,0,0,0,0,0,0,None,,64
Didier,Phillis,69,159,SG,7/11/2012,10,East Ridge,TN,None,2,,0,22,52,33,46,15,38,8,15,15,13,16,22,35,30,45,22,41,17,33,32,48,43,60,36,42,23,27,19,20,58,REN,0,0,0,0,0,0,0,0,None,,81
Aytaç,Donis,71,159,PF,1/24/2012,0,Redford,NY,None,1,,0,25,25,23,28,6,43,14,15,17,12,14,17,20,32,34,12,27,11,11,22,22,27,28,41,41,68,42,13,17,68,SAS,0,0,0,0,0,0,0,0,None,,49
Sreten,Blasevic,79,229,SF,7/3/2010,16,Novi Sad,Serbia,None,0,,0,2,5,2,5,2,5,2,5,2,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,2,2,2,2,FA,0,0,0,0,0,0,0,0,None,,36
Chuck,Bernier,81,243,PF,10/23/2009,43,Columbus,OH,Pittsburgh,0,,0,2,5,2,5,2,5,0,0,0,2,5,2,5,2,5,2,2,2,5,2,5,2,5,2,5,7,2,2,2,27,Draft,0,0,0,0,0,0,0,0,None,,50
Ottaviano,Pine,70,154,C,8/23/2016,15,Fairview Shores,FL,Central Florida,0,,0,32,45,9,35,15,24,15,19,16,16,26,13,20,36,63,21,34,12,27,30,49,43,64,33,51,45,31,21,18,82,JER,0,0,0,0,0,0,0,0,None,,37
Bret,Miranda,82,264,C,4/17/2011,53,Cheviot,OH,Pittsburgh,0,,0,2,5,2,5,2,5,0,0,0,2,5,1,3,2,5,0,1,0,1,2,5,2,5,2,4,6,2,2,2,45,Draft,0,0,0,0,0,0,0,0,None,,53
Elton,Rosario,80,240,PF,12/17/2011,42,Nashville-Davidson,TN,Morehead State,0,,0,1,2,2,5,2,5,0,0,0,2,5,2,4,2,5,2,5,2,5,2,5,2,5,2,5,52,2,2,2,77,Draft,0,0,0,0,0,0,0,0,None,,47
Boyd,Thielen,77,189,C,7/23/2016,45,New York,NY,Marist,1,,0,25,52,16,37,10,28,5,6,7,12,16,8,30,24,56,11,34,15,21,37,86,29,56,36,38,29,25,8,35,80,MTL,0,0,0,0,0,0,0,0,None,,42
Mitch,Johnson,83,245,C,7/18/2010,30,Virginia Beach,VA,VCU,0,,0,2,5,2,5,2,5,2,5,2,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,2,2,2,2,FA,0,0,0,0,0,0,0,0,None,,29
