FirstName,LastName,Height,Weight,Position,DOB,Uniform,City,State,College,Exp,Injury,TimeInjured,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Team,Contract1,Contract2,Contract3,Contract4,Contract5,Contract6,Contract7,BirdYears,Option,Picname,InjuryAvoidance
Dan,McAndrews,78,219,C,6/25/1997,40,Hauser,ID,None,11,Stress Fracture,0,70,70,26,26,38,39,8,8,4,25,26,21,21,58,58,21,21,21,21,64,64,58,58,52,52,44,57,15,40,39,GOU,1000000,0,0,0,0,0,0,0,None,,58
Royal,Katzman,79,232,PF,11/16/2000,44,Porter,IN,None,8,Sprained Knee,0,54,54,34,42,22,42,9,10,0,18,18,25,33,56,56,22,22,25,28,83,83,75,75,72,72,67,58,31,51,83,PLY,1000000,0,0,0,0,0,0,0,None,,20
Spencer,Galante,77,211,PF,4/1/2003,54,Gainesville,FL,None,5,,0,69,69,29,31,35,42,25,25,10,25,25,24,24,66,66,31,31,23,37,61,61,68,68,47,47,74,53,39,50,56,GOU,1000000,0,0,0,0,0,0,0,None,,100
Nemunas,Debow,77,217,PF,8/17/2001,41,Golden City,MO,None,7,Concussion,0,77,77,46,46,39,45,29,29,10,32,33,39,39,55,55,34,35,28,40,56,56,68,68,69,69,26,66,35,46,67,THP,1000000,0,0,0,0,0,0,0,None,,95
Utz,Lovell,77,214,SF,1/12/2003,6,Mulberry,OH,None,5,Sprained Wrist,0,83,83,88,88,56,77,74,74,35,79,79,62,62,83,83,75,75,77,77,65,65,74,76,90,90,66,71,64,90,76,GOU,1000000,0,0,0,0,0,0,0,None,,3
Vincent,Brasel,75,201,PG,1/4/2003,27,North Brooksville,FL,None,5,Strained Back,0,64,69,46,46,49,66,53,54,25,57,57,49,55,48,48,66,66,49,49,48,48,49,49,57,57,28,54,59,46,85,GOU,1000000,0,0,0,0,0,0,0,None,,40
Aksin,Town,77,207,SG,6/7/1999,7,Highland,WI,None,9,,0,60,60,38,38,47,49,49,49,33,44,44,50,54,37,37,54,54,48,48,48,48,57,57,48,48,52,31,25,27,85,GOU,1000000,0,0,0,0,0,0,0,None,,71
Edmundo,Patrick,76,201,SG,4/17/1999,23,Marquette,KS,None,9,,0,40,40,73,73,52,54,70,70,46,56,63,51,51,32,32,57,57,67,74,20,20,28,34,39,39,50,32,42,37,55,GOU,1000000,0,0,0,0,0,0,0,None,,12
Marion,Marburger,72,166,PG,6/1/2001,34,Des Moines,NM,None,7,Bulging Disc,0,64,64,99,99,85,87,90,90,30,91,91,81,81,46,46,99,99,96,96,33,34,49,58,55,55,41,61,88,67,85,GOR,1000000,0,0,0,0,0,0,0,None,,84
Kristofer,Stupka,75,192,SG,11/24/1995,20,Kearny,AZ,None,13,Patellar Tendanitis,0,42,42,52,52,54,71,45,45,67,57,57,49,49,33,33,46,46,49,49,16,16,22,22,23,23,28,24,32,47,75,GOU,1000000,0,0,0,0,0,0,0,None,,23
