FirstName,LastName,Height,Weight,Position,DOB,Uniform,City,State,College,Exp,Injury,TimeInjured,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Team,Contract1,Contract2,Contract3,Contract4,Contract5,Contract6,Contract7,BirdYears,Option,Picname,InjuryAvoidance
Chris,Harper,87,229,C,10/27/1992,52,Old Town,ME,Villanova,0,,0,60,75,23,32,54,62,0,0,0,33,40,0,0,11,17,8,11,9,14,12,15,6,10,18,21,21,77,23,68,63,RIO,23781,24660,25539,26417,0,0,0,0,None,,94
Billie,Holmes,83,227,C,1/16/1990,35,Tupelo,MS,Mississippi,4,Bruised Hip,0,21,22,26,26,55,56,0,0,0,43,43,55,66,47,47,4,4,23,23,37,37,24,30,69,70,68,61,20,36,63,RIO,250000,270000,290000,310000,330000,350000,0,0,None,,68
Merle,Andrews,85,239,C,7/23/1982,55,Conway,AR,Louisiana-Monroe,11,Blurred Vision,0,20,28,36,49,42,47,9,12,12,21,27,0,0,54,68,16,20,24,32,61,61,34,34,44,45,51,56,6,20,10,T95,307693,0,0,0,0,0,0,4,None,,36
Cliff,White,84,240,C,11/10/1974,45,Washington,DC,Villanova,18,,0,5,6,30,30,60,60,0,0,0,17,21,1,1,31,37,20,20,5,6,17,20,3,3,8,11,20,58,1,35,18,FA,0,0,0,0,0,0,0,0,None,,36
Cyrus,Perez,85,238,C,3/21/1991,35,San Jose,CA,Stanford,6,Sprained Knee,0,26,33,33,41,30,37,0,0,0,18,24,10,12,59,60,4,6,7,8,48,61,12,15,7,8,30,69,23,45,23,IDS,185501,208689,231876,255064,0,0,0,1,None,,98
William,Baker,85,247,C,2/19/1988,50,Long Beach,CA,Brigham Young,9,,0,9,10,32,33,58,61,0,0,0,4,5,10,12,8,9,5,6,18,18,16,23,7,9,15,17,22,54,3,32,44,FA,0,0,0,0,0,0,0,0,None,,44
David,Mitchell,86,240,C,8/22/1991,54,Chaska,MN,Creighton,4,,0,3,6,18,40,44,48,0,0,0,10,22,8,20,9,18,4,8,5,14,14,34,11,24,15,33,10,57,14,63,57,LAD,14100,0,0,0,0,0,0,0,None,,99
Feodor,Belyakova,82,231,C,1/12/1990,52,Blagoveshchensk,Russia,None,3,,0,7,8,10,12,40,42,0,0,0,16,16,7,7,20,24,7,7,10,11,43,44,12,12,42,42,64,60,13,57,51,FWN,13500,0,0,0,0,0,0,0,None,,39
Larry,Mundell,82,239,C,5/16/1980,51,Mesa,AZ,Arizona,13,,0,38,45,24,30,34,34,0,0,0,20,22,19,21,25,33,22,25,14,19,27,27,11,12,24,30,60,66,6,24,3,ERI,23800,0,0,0,0,0,0,0,None,,30
Charles,Estrada,86,257,C,5/25/1994,54,Wilburton,OK,Oklahoma,1,,0,37,53,4,7,33,37,0,0,0,8,13,7,12,33,52,5,9,7,12,21,31,21,33,9,15,27,71,2,20,33,RIO,24079,27089,30099,0,0,0,0,1,None,,12
Eric,Tsai,86,224,C,12/16/1984,30,St. Charles,MD,Navy,10,Stress Fracture,32,12,15,9,11,40,41,0,0,0,13,14,5,5,48,62,6,8,1,1,25,28,45,45,54,54,22,51,2,24,6,SCZ,259701,0,0,0,0,0,0,0,None,,16
Dorofei,Rodzianko,83,223,C,5/25/1988,40,Sayansk,Russia,None,7,,0,1,1,18,22,33,38,0,0,0,31,32,1,1,22,29,1,1,14,17,11,16,4,4,6,6,38,57,2,45,16,FA,0,0,0,0,0,0,0,0,None,,69
Kevin,Weaver,82,240,C,1/31/1991,0,Allen,TX,Kansas State,2,,0,12,22,9,13,43,43,0,0,0,21,31,4,7,18,31,4,7,6,10,23,33,8,15,5,10,93,65,11,33,11,FA,0,0,0,0,0,0,0,0,None,,34
Andrew,Richardson,83,226,C,10/6/1983,34,Moreno Valley,CA,Fresno State,11,,0,3,4,27,27,9,11,16,22,24,20,24,7,8,37,40,8,9,7,8,16,16,41,44,20,20,61,67,7,42,46,LAD,140458,158015,175572,193130,0,0,0,3,None,,68
Ervin,Henderson,84,249,C,10/12/1988,35,Schuyler,NE,Kansas,7,,0,20,24,36,46,58,66,0,0,0,40,49,16,17,22,27,5,6,5,7,19,22,14,15,11,14,17,64,1,26,19,GRD,18500,0,0,0,0,0,0,0,None,,82
Tony,Thompson,82,270,C,11/19/1984,54,Fairborn,OH,Syracuse,7,Fractured Nose,0,24,25,3,3,29,33,7,7,8,11,12,2,2,37,44,3,4,39,41,45,55,11,11,22,22,59,70,13,40,34,SCZ,175382,0,0,0,0,0,0,5,None,,11
Francisek,Baraga,84,234,C,2/25/1988,44,Ljubljana,Slovenia,None,7,Broken Foot,0,3,3,6,7,31,37,0,0,0,33,34,17,18,58,58,4,4,2,2,39,48,7,8,30,30,27,57,19,52,60,LAD,231890,255079,278268,301457,324646,347835,0,2,None,,48
Sherman,White,83,209,C,9/16/1995,33,Chino Hills,CA,Northern Arizona,0,,0,11,15,16,29,54,59,0,0,0,27,34,10,13,44,56,16,22,8,12,35,45,31,39,17,28,21,51,18,50,23,RNO,26506,29157,31807,34458,0,0,0,0,None,,72
Zacarías,Criville,85,237,C,10/10/1984,50,Durant,OK,Stephen F. Austin,9,,0,1,1,18,23,49,53,0,0,0,17,17,5,5,40,40,2,3,20,21,41,41,61,72,31,32,68,37,31,38,70,FA,0,0,0,0,0,0,0,0,None,,81
Justin,Falco,82,231,C,5/4/1988,42,Bowie,MD,Morgan State,9,Broken Ankle,37,19,19,59,59,43,54,0,0,0,2,2,17,17,34,34,10,11,4,4,41,41,18,21,0,0,38,50,32,36,54,IDS,23000,0,0,0,0,0,0,0,None,,72
Haywood,Smith,87,227,C,2/21/1991,35,Murrieta,CA,UCLA,5,,0,3,5,27,35,33,38,0,0,0,17,29,8,12,42,65,8,11,13,21,15,20,24,32,9,12,38,71,11,53,45,D87,74102,79899,85697,0,0,0,0,4,None,,67
